publication_date,effective_on,department,agency_fr,independent_reg_agency,title_fr,abstract,action,citation,document_number,docket_number,significant,econ_significant,3(f)(1) significant,Major,html_url,Notes,in_fr_df,url,title_gao,agency_gao,subagency,type,description,priority,effective,received,control_number,fed_reg_number,major_rule_report,in_gao_df,regulation_id_number
2025-01-03,2025-01-03,Energy Department,,0,Update and Relocation of the Department of Energy Technology Investment Agreement Regulations,"The Department of Energy (DOE or the Department) is issuing this interim final rule (IFR) to update, streamline, and relocate the policies, procedures, and provisions that are applicable to the award and administration of certain other transaction (OT) agreements awarded under DOE's OT authority provided in the Energy Policy Act of 2005's amendments to the Department of Energy Organization Act. DOE expects that the simplification of the implementing regulations will enable improved use OT Agreements beyond the Technology Investment Agreements (TIAs) contemplated in the original regulations. This IFR will promote more uniform application of this authority and the policies and provisions for the award and administration of it.",Interim final rule; request for comments.,90 FR 189,2024-30636,DOE-HQ-2024-0095,,,,,https://www.federalregister.gov/documents/2025/01/03/2024-30636/update-and-relocation-of-the-department-of-energy-technology-investment-agreement-regulations,,1,,,,,,,,,,,,,0,['1991-AC19']
2025-01-03,2025-01-03,Transportation Department,Federal Aviation Administration,0,"Extension of Compliance Date To Designate a U.S. Agent for Service for Individuals With Foreign Addresses Who Apply for Certain Certificates, Ratings, or Authorizations","On October 8, 2024, the FAA published a final rule that will require individuals with foreign addresses and no U.S. physical address on file with the FAA who apply for certain certificates, ratings, or authorizations to designate a U.S. agent for service. This final rule extends the deadline for those individuals to designate a U.S. agent for service from January 6, 2025, to April 2, 2025. This final rule does not apply to individuals with foreign addresses who currently hold certain certificates, ratings, or authorizations, as the compliance date for those individuals continues to be July 7, 2025.",Final rule; delay of effective date.,90 FR 213,2024-31555,FAA-2023-1194,,,,,https://www.federalregister.gov/documents/2025/01/03/2024-31555/extension-of-compliance-date-to-designate-a-us-agent-for-service-for-individuals-with-foreign,,1,,,,,,,,,,,,,0,['2120-AL85']
2025-01-03,2025-01-17,General Services Administration; Defense Department; National Aeronautics and Space Administration,,0,Federal Acquisition Regulation: Improving Consistency Between Procurement and Nonprocurement Procedures on Suspension and Debarment,"DoD, GSA, and NASA are issuing a final rule amending the Federal Acquisition Regulation (FAR) to improve consistency between the procurement and nonprocurement procedures on suspension and debarment, based on the recommendations of the Interagency Suspension and Debarment Committee.",Final rule.,90 FR 507,2024-31403,FAR-2019-0015,,,,,https://www.federalregister.gov/documents/2025/01/03/2024-31403/federal-acquisition-regulation-improving-consistency-between-procurement-and-nonprocurement,,1,,,,,,,,,,,,,0,['9000-AN98']
2025-01-03,2025-01-17,General Services Administration; Defense Department; National Aeronautics and Space Administration,,0,Federal Acquisition Regulation: Rerepresentation of Size and Socioeconomic Status,"DoD, GSA, and NASA are issuing a final rule amending the Federal Acquisition Regulation (FAR) to implement regulatory changes made by the Small Business Administration to order-level size and socioeconomic status rerepresentation requirements.",Final rule.,90 FR 517,2024-31404,FAR-2020-0016,,,,,https://www.federalregister.gov/documents/2025/01/03/2024-31404/federal-acquisition-regulation-rerepresentation-of-size-and-socioeconomic-status,,1,,,,,,,,,,,,,0,['9000-AO18']
2025-01-03,2025-01-17,General Services Administration; Defense Department; National Aeronautics and Space Administration,,0,Federal Acquisition Regulation: Subcontracting to Puerto Rican and Covered Territory Small Businesses,"DoD, GSA, and NASA are issuing a final rule amending the Federal Acquisition Regulation (FAR) to implement regulatory changes made by the Small Business Administration to add incentives for certain United States territories under the Small Business Administration mentor-prot[eacute]g[eacute] program.",Final rule.,90 FR 523,2024-31407,FAR-2023-0001,,,,,https://www.federalregister.gov/documents/2025/01/03/2024-31407/federal-acquisition-regulation-subcontracting-to-puerto-rican-and-covered-territory-small-businesses,,1,,,,,,,,,,,,,0,['9000-AO50']
2025-01-03,2025-01-21,Transportation Department,Federal Aviation Administration,0,Integration of Powered-Lift: Pilot Certification and Operations; Miscellaneous Amendments Related to Rotorcraft and Airplanes; Correction,"On November 21, 2024, the Federal Aviation Administration (FAA) published a final rule titled ""Integration of Powered-Lift: Pilot Certification and Operations; Miscellaneous Amendments Related to Rotorcraft and Airplanes"" (RIN 2120-AL72). That final rule inadvertently duplicated two tables in the regulatory text of the Special Federal Aviation Regulation for powered-lift. This correction removes the duplicates. Additionally, the FAA inadvertently cited an incorrect paragraph in the Training center instructor eligibility requirements section of the Code of Federal Regulations. This correction corrects the paragraph reference.",Final rule; correction.,90 FR 215,2024-30331,FAA-2023-1275,,,,,https://www.federalregister.gov/documents/2025/01/03/2024-30331/integration-of-powered-lift-pilot-certification-and-operations-miscellaneous-amendments-related-to,,1,,,,,,,,,,,,,0,['2120-AL72']
2025-01-03,2025-02-18,Transportation Department,National Highway Traffic Safety Administration,0,"Anthropomorphic Test Devices, HIII 5TH Percentile Female Test Dummy; Incorporation by Reference","This document revises the chest jacket and spine box specifications for the Hybrid III 5th Percentile Female Test Dummy (HIII-5F). The jacket revisions resolve discrepancies between the jacket specifications in subpart O and jackets available in the field, and ensure a sufficiently low level of variation between jackets fabricated by different manufacturers. The spine box revisions eliminate a source of signal noise caused by fasteners within the box that may become loose during sled or vehicle crash tests. This rulemaking responds to a petition for rulemaking from the Alliance of Automobile Manufacturers.",Final rule.,90 FR 250,2024-30985,NHTSA-2024-0093,,,,,https://www.federalregister.gov/documents/2025/01/03/2024-30985/anthropomorphic-test-devices-hiii-5th-percentile-female-test-dummy-incorporation-by-reference,,1,,,,,,,,,,,,,0,['2127-AM13']
2025-01-03,2025-03-04,Agriculture Department,Rural Housing Service,0,Updating Manufactured Housing Provisions,"The Rural Housing Service (RHS or the Agency), a Rural Development (RD) agency of the United States Department of Agriculture (USDA), is amending the current regulations for the Single Family Housing (SFH) Direct Loan Program and the SFH Guaranteed Loan Program. The intent of this final rule is to allow the Agency to give borrowers increased purchase options within a competitive market and increase adequate housing along with an enhanced customer experience with the SFH programs.",Final rule.,90 FR 199,2024-30270,,,,,,https://www.federalregister.gov/documents/2025/01/03/2024-30270/updating-manufactured-housing-provisions,,1,,,,,,,,,,,,,0,['0575-AD32']
2025-01-03,2025-03-04,Transportation Department,National Highway Traffic Safety Administration,0,"Federal Motor Vehicle Safety Standards; Occupant Crash Protection, Seat Belt Reminder Systems, Controls and Displays","This document amends Federal Motor Vehicle Safety Standard (FMVSS) No. 208, ""Occupant crash protection,"" to require a seat belt use warning system for rear seats. The rule also updates and enhances the current seat belt warning requirements for the driver's seat belt and extends these requirements to the front outboard passenger seat. The final rule applies (with some exceptions) to passenger cars, trucks, most buses, and multipurpose passenger vehicles with a gross vehicle weight rating of 4,536 kilograms (10,000 pounds) or less. This document also makes related amendments to FMVSS No. 101, ""Controls and displays.""",Final rule.,90 FR 390,2024-30340,NHTSA-2024-0071,,,,,https://www.federalregister.gov/documents/2025/01/03/2024-30340/federal-motor-vehicle-safety-standards-occupant-crash-protection-seat-belt-reminder-systems-controls,,1,,,,,,,,,,,,,0,['2127-AL37']
2025-01-03,2025-03-19,Nuclear Regulatory Commission,,1,"List of Approved Spent Fuel Storage Casks: NAC International, Inc. MAGNASTORÂ® Storage System, Certificate of Compliance No. 1031, Amendment No. 14 and Revisions to Amendment Nos. 0 Through 13","The U.S. Nuclear Regulatory Commission (NRC) is amending its spent fuel storage regulations by revising the NAC International, Inc. MAGNASTOR[supreg] Storage System listing within the ""List of approved spent fuel storage casks"" to include Amendment No. 14 and revisions to Amendment Nos. 0 through 13 to Certificate of Compliance No. 1031. Amendment No. 14 and revisions to Amendment Nos. 0 through 13 revise the certificate of compliance to add a revised method of evaluation for the non-mechanistic tipover accident, clarify in the technical specifications that damaged missing grid spacers only apply to pressurized-water reactor fuel assembles, clarify inlet and outlet vent blockage and surveillance requirements in limiting condition for operation 3.1.2 in Appendix A to the certificate of compliance and associated technical specification bases, and remove the reference to Type II Portland cement in the description of the certificate of compliance. The NRC is also correcting typographical errors in Revision 1 to Amendment Nos. 11 to 13 and Amendment No. 14 to Certificate of Compliance No. 1031.",Direct final rule.,90 FR 204,2024-31095,NRC-2024-0180,,,,,https://www.federalregister.gov/documents/2025/01/03/2024-31095/list-of-approved-spent-fuel-storage-casks-nac-international-inc-magnastor-storage-system-certificate,,1,,,,,,,,,,,,,0,['3150-AL21']
2025-01-03,2026-07-01,Education Department,,0,"Program Integrity and Institutional Quality: Distance Education and Return of Title IV, HEA Funds","The Secretary amends the Student Assistance General Provisions regulations governing participation in the student financial assistance programs authorized under title IV of the Higher Education Act of 1965, as amended (HEA), to promote program integrity and institutional quality. These regulations clarify, update, and consolidate certain provisions that apply to distance education and the return of title IV, HEA funds. They also make technical changes to the TRIO program regulations to reflect the current status of the Republic of Palau as a member of the Freely Associated States. This document provides notice that the Department fully closes out the Program Integrity and Institutional Quality: Distance Education and Return of Title IV, HEA Funds notice of proposed rulemaking. That is, we will not be finalizing the remainder of the Federal TRIO program provisions but may promulgate through future rulemaking efforts.",Final regulations.,90 FR 470,2024-31031,ED-2024-OPE-0050,,,,,https://www.federalregister.gov/documents/2025/01/03/2024-31031/program-integrity-and-institutional-quality-distance-education-and-return-of-title-iv-hea-funds,,1,,,,,,,,,,,,,0,['1840-AD85']
2025-01-03,,Transportation Department,Federal Aviation Administration,0,Regulatory Updates to BasicMed,,,90 FR 215,C1-2024-26935,FAA-2024-2580,,,,,https://www.federalregister.gov/documents/2025/01/03/C1-2024-26935/regulatory-updates-to-basicmed,,1,,,,,,,,,,,,,0,['2120-AM06']
2025-01-06,2025-01-06,Commerce Department,Industry and Security Bureau,0,Revisions to the Entity List,"In this rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding 13 entities under 13 entries to the Entity List. These entries are listed on the Entity List under the destinations of Burma (1), China, People's Republic of (China) (11), and Pakistan (1). These entities have been determined by the U.S. Government to be acting contrary to the national security and/ or foreign policy interests of the United States. This rule also amends the EAR by making certain editorial corrections and clarifications. BIS is making the corrections and clarifications in order to minimize confusion and not impede the free flow of commerce.",Final rule.,90 FR 559,2024-31468,BIS-2025-0002,,,,,https://www.federalregister.gov/documents/2025/01/06/2024-31468/revisions-to-the-entity-list,,1,,,,,,,,,,,,,0,['0694-AJ99']
2025-01-06,2025-01-06,Homeland Security Department,,0,Immigration Bond Notifications,"On August 8, 2023, DHS issued an interim final rule which amended the regulations to authorize ICE to serve bond-related notices to obligors electronically. The rule allowed DHS to electronically serve demand and other immigration bond notices for delivery, order of supervision, or voluntary departure bonds to obligors who consent to electronic service. DHS is now issuing this final rule that introduces no substantive changes from the interim final rule.",Final rule.,90 FR 535,2024-31358,ICEB-2021-0015,,,,,https://www.federalregister.gov/documents/2025/01/06/2024-31358/immigration-bond-notifications,,1,,,,,,,,,,,,,0,['1653-AA85']
2025-01-06,2025-01-06,Transportation Department,Great Lakes St. Lawrence Seaway Development Corporation,0,Tariff of Tolls,"The Great Lakes St. Lawrence Seaway Development Corporation (GLS) and the St. Lawrence Seaway Management Corporation (SLSMC) of Canada, under international agreement, jointly publish and presently administer the St. Lawrence Seaway Tariff of Tolls in their respective jurisdictions. The Tariff sets forth the level of tolls assessed on all commodities and vessels transiting the facilities operated by the GLS and the SLSMC. The GLS is revising its regulations to reflect the fees and charges levied by the SLSMC in Canada starting in the 2025 navigation season, which are effective only in Canada.",Final rule.,90 FR 566,2024-31616,SLSDC-2013-0002,,,,,https://www.federalregister.gov/documents/2025/01/06/2024-31616/tariff-of-tolls,,1,,,,,,,,,,,,,0,['2135-AA58']
2025-01-06,2025-02-05,Agriculture Department,Agricultural Marketing Service,0,Formulas for Calculating Hourly and Unit Fees for FGIS Services,"The Agricultural Marketing Service (AMS), Federal Grain Inspection Service (FGIS or Service) is amending its user fee regulations to establish standardized formulas the agency will use to calculate hourly and unit fees. The changes allow FGIS to charge reasonable fees sufficient to cover the costs of providing official services and re-establish a 3-to 6-month operating reserve, as required by the United States Grain Standards Act (USGSA). This final rule also makes specified conforming changes and minor technical changes to correct two typographical errors.",Final rule.,90 FR 531,2024-31140,AMS-FGIS-24-0027,,,,,https://www.federalregister.gov/documents/2025/01/06/2024-31140/formulas-for-calculating-hourly-and-unit-fees-for-fgis-services,,1,,,,,,,,,,,,,0,['0581-AE31']
2025-01-06,2025-02-05,Environmental Protection Agency,,0,Implementing Statutory Addition of Certain Per- and Polyfluoroalkyl Substances (PFAS) to Toxics Release Inventory (TRI) Beginning With Reporting Year 2025,"The Environmental Protection Agency (EPA) is updating the list of chemicals subject to toxic chemical release reporting under the Emergency Planning and Community Right-to-Know Act (EPCRA) and the Pollution Prevention Act (PPA). Specifically, this action updates the regulations to identify nine per- and polyfluoroalkyl substances (PFAS) that must be reported pursuant to the National Defense Authorization Act for Fiscal Year 2020 (FY2020 NDAA) enacted on December 20, 2019. As this action is being taken to conform the regulations to a Congressional legislative mandate, notice and comment rulemaking is unnecessary.",Final rule.,90 FR 573,2024-31464,EPA-HQ-OPPT-2024-0044,,,,,https://www.federalregister.gov/documents/2025/01/06/2024-31464/implementing-statutory-addition-of-certain-per--and-polyfluoroalkyl-substances-pfas-to-toxics,,1,,,,,,,,,,,,,0,['2070-AL23']
2025-01-06,2025-02-05,Housing and Urban Development Department,,0,HOME Investment Partnerships Program: Program Updates and Streamlining,"HUD's HOME Investment Partnerships Program (HOME program or HOME) provides formula grants to States and units of general local government to fund a wide range of activities to produce and maintain affordable rental and homeownership housing and provides tenant-based rental assistance for low-income and very low-income households. This final rule revises the current HOME regulations to update, simplify, or streamline requirements, better align the program with other Federal housing programs, and implement recent amendments to the HOME statute. This final rule also includes minor revisions to the regulations for the Community Development Block Grant and Section 8 Housing Choice Voucher Programs consistent with the implementation of the changes to the HOME program. This final rule follows the publication of a proposed rule on May 29, 2024, and takes into consideration the comments received in response to that proposed rule.",Final rule.,90 FR 746,2024-29824,HUD-2024-0045,,,,,https://www.federalregister.gov/documents/2025/01/06/2024-29824/home-investment-partnerships-program-program-updates-and-streamlining,,1,,,,,,,,,,,,,0,['2506-AC50']
2025-01-06,2025-03-07,Environmental Protection Agency,,0,Significant New Use Rules on Certain Chemical Substances (19-5.F),"EPA is issuing significant new use rules (SNURs) under the Toxic Substances Control Act (TSCA) for certain chemical substances that were the subject of premanufacture notices (PMNs). The SNURs require persons to notify EPA at least 90 days before commencing manufacture (defined by statute to include import) or processing of any of these chemical substances for an activity that is designated as a significant new use in the SNUR. The required notification initiates EPA's evaluation of the use, under the conditions of use for that chemical substance, within the applicable review period. Persons may not commence manufacture or processing for the significant new use until they have submitted a Significant New Use Notice (SNUN), and EPA has conducted a review of the notice, made an appropriate determination on the notice, and has taken any risk management actions as are required as a result of that determination.",Final rule.,90 FR 567,2024-30964,EPA-HQ-OPPT-2019-0530,,,,,https://www.federalregister.gov/documents/2025/01/06/2024-30964/significant-new-use-rules-on-certain-chemical-substances-19-5f,,1,,,,,,,,,,,,,0,['2070-AB27']
2025-01-06,2025-04-17,Transportation Department,Federal Aviation Administration,0,"Establishment of Class E Airspace; Ashley, ND","This action establishes Class E airspace at Ashley, ND. This action is due to the development of new public instrument procedures at Ashley Municipal Airport, Ashley, ND, and to support instrument flight rule (IFR) operations.",Final rule.,90 FR 558,2024-31637,FAA-2024-1710,,,,,https://www.federalregister.gov/documents/2025/01/06/2024-31637/establishment-of-class-e-airspace-ashley-nd,,1,,,,,,,,,,,,,0,['2120-AA66']
2025-01-06,2025-04-17,Transportation Department,Federal Aviation Administration,0,"Establishment of Class E Airspace; Redfield, SD","This action establishes Class E airspace at Redfield, SD. This action due to the development of new public instrument procedures and to support instrument flight rule (IFR) operations.",Final rule.,90 FR 557,2024-31635,FAA-2023-2222,,,,,https://www.federalregister.gov/documents/2025/01/06/2024-31635/establishment-of-class-e-airspace-redfield-sd,,1,,,,,,,,,,,,,0,['2120-AA66']
2025-01-07,2025-01-07,Environmental Protection Agency,,0,National Emission Standards for Hazardous Air Pollutants: National Perchloroethylene Air Emission Standards for Dry Cleaning Facilities Technology Review,This action finalizes the Clean Air Act (CAA) technology review (TR) conducted for the commercial and industrial dry cleaning facilities using perchloroethylene (PCE) as the cleaning solvent (PCE Dry Cleaning) source categories regulated under National Emission Standards for Hazardous air Pollutants (NESHAP). This final rule does not finalize the changes made at proposal and makes no amendments to the current NESHAP given the recently finalized action under the Toxic Substance Control Act (TSCA) which has instituted a 10-year phaseout of the use of PCE for dry cleaning.,Final determination.,90 FR 1041,2024-31223,EPA-HQ-OAR-2005-0155,,,,,https://www.federalregister.gov/documents/2025/01/07/2024-31223/national-emission-standards-for-hazardous-air-pollutants-national-perchloroethylene-air-emission,,1,,,,,,,,,,,,,0,['2060-AV44']
2025-01-07,2025-01-09,Homeland Security Department,Coast Guard,0,"Safety Zone; Cypress Passage Overhead Powerline Demolition and Removal, Atchafalaya River, LA","The Coast Guard is establishing a temporary safety zone for navigable waters within a 500-yard radius of 29[deg]47'38.18"" N, 91[deg]21'50.52"" W, approximately MM 105.5, on the Atchafalaya River, locally known as Cypress Passage, during an overhead electrical powerline structure demolition operation on Thursday, January 9, 2025. The safety zone is needed to protect personnel, vessels, and the marine environment from potential hazards created by the demolition of the powerline structures resulting in electrical powerlines on the navigational water's surface. Entry of vessels or persons into this zone is prohibited unless specifically authorized by the Captain of the Port Marine Safety Unit Houma.",Temporary final rule.,90 FR 1037,2024-31671,USCG-2024-1095,,,,,https://www.federalregister.gov/documents/2025/01/07/2024-31671/safety-zone-cypress-passage-overhead-powerline-demolition-and-removal-atchafalaya-river-la,,1,,,,,,,,,,,,,0,['1625-AA00']
2025-01-07,2025-02-06,Energy Department,,0,Energy Conservation Program: Test Procedure for Central Air Conditioners and Heat Pumps,"This final rule amends the Federal test procedure for central air conditioners and heat pumps (""CAC/HPs"") to incorporate by reference the latest versions of the applicable industry standards. Specifically, DOE is incorporating by reference the latest version of the relevant industry consensus test standard, AHRI 210/240-2024 (I-P) for the current test procedure for CAC/HPs (""appendix M1"") for measuring the current cooling and heating metrics--seasonal energy efficiency ratio 2 (""SEER2"") and heating seasonal performance factor 2 (""HSPF2""). DOE is incorporating by reference the new industry consensus test standard, AHRI 1600-2024 (I-P), for a new test procedure (""appendix M2"") for CAC/HPs that adopts two new metrics--seasonal cooling and off-mode rating efficiency (""SCORE"") and seasonal heating and off-mode rating efficiency (""SHORE""). Testing to the SCORE and SHORE metrics would not be required until such time as compliance is required with any amended energy conservation standard based on the new metrics. Additionally, DOE is amending certain provisions of DOE's regulations related to representations and enforcement for CAC/HPs.",Final rule.,90 FR 1224,2024-30852,EERE-2022-BT-TP-0028,,,,,https://www.federalregister.gov/documents/2025/01/07/2024-30852/energy-conservation-program-test-procedure-for-central-air-conditioners-and-heat-pumps,,1,,,,,,,,,,,,,0,['1904-AF49']
2025-01-07,2025-03-10,Transportation Department,National Highway Traffic Safety Administration,0,"Federal Motor Vehicle Safety Standards; Child Restraint Systems, Child Restraint Anchorage Systems, Incorporation by Reference","This final rule amends Federal Motor Vehicle Safety Standard (FMVSS) No. 225; Child restraint systems, and FMVSS No. 213b; Child restraint systems, to improve ease-of-use of the lower and tether anchorages, improve correct use of child restraint systems in vehicles, and maintain or improve the correct use and effectiveness of child restraint systems (CRSs) in motor vehicles. This final rule fulfills a mandate of the Moving Ahead for Progress in the 21st Century Act (MAP- 21) requiring that NHTSA improve the ease-of-use for lower anchorages and tethers in all rear seat positions.",Final rule.,90 FR 1288,2024-31142,NHTSA-2024-0089,,,,,https://www.federalregister.gov/documents/2025/01/07/2024-31142/federal-motor-vehicle-safety-standards-child-restraint-systems-child-restraint-anchorage-systems,,1,,,,,,,,,,,,,0,['2127-AL20']
2025-01-07,2025-04-17,Transportation Department,Federal Aviation Administration,0,"Amendment of Class E Airspace; El Dorado, AR","This action amends the Class E airspace at El Dorado, AR. This action is the result of an airspace review conducted due to the development of new instrument procedures. The geographic coordinates and name of the airport and the name of the El Dorado VOR/DME are also being updated to coincide with the FAA's aeronautical database. This action brings the airspace into compliance with FAA orders and support instrument flight rule (IFR) procedures and operations.",Final rule.,90 FR 1032,2024-31641,FAA-2024-2429,,,,,https://www.federalregister.gov/documents/2025/01/07/2024-31641/amendment-of-class-e-airspace-el-dorado-ar,,1,,,,,,,,,,,,,0,['2120-AA66']
2025-01-07,2025-04-17,Transportation Department,Federal Aviation Administration,0,"Amendment of Class E Airspace; Gaylord, MI","This action amends the Class E airspace at Gaylord, MI. This action is the result of an airspace review conducted due to the decommissioning of the Gaylord very high frequency omnidirectional range (VOR) as part of the VOR Minimum Operational Network (MON) Program. This action brings the airspace into compliance with FAA orders and supports instrument flight rule (IFR) procedures and operations.",Final rule.,90 FR 1030,2024-31638,FAA-2024-2369,,,,,https://www.federalregister.gov/documents/2025/01/07/2024-31638/amendment-of-class-e-airspace-gaylord-mi,,1,,,,,,,,,,,,,0,['2120-AA66']
2025-01-07,2025-04-17,Transportation Department,Federal Aviation Administration,0,"Amendment of Class E Airspace; Giddings, TX","This action amends the Class E airspace at Giddings, TX. This action is the result of airspace reviews conducted due to the decommissioning of the Industry very high frequency omnidirectional range (VOR) as part of the VOR Minimum Operational Network (MON) Program. The geographic coordinates of the airport are also being updated to coincide with the FAA's aeronautical database. This action brings the airspace into compliance with FAA orders and supports instrument flight rule (IFR) operations and procedures.",Final rule.,90 FR 1029,2024-31643,FAA-2024-2367,,,,,https://www.federalregister.gov/documents/2025/01/07/2024-31643/amendment-of-class-e-airspace-giddings-tx,,1,,,,,,,,,,,,,0,['2120-AA66']
2025-01-07,2025-04-17,Transportation Department,Federal Aviation Administration,0,"Amendment of Class E Airspace; Pontiac, IL","This action amends the Class E airspace at Pontiac, IL. This action is the result of an airspace review conducted due to the decommissioning of the Pontiac very high frequency omnidirectional range (VOR) as part of the VOR Minimum Operational Network (MON) Program. The geographic coordinates of the airport are also being updated to coincide with the FAA's aeronautical database. This action brings the airspace into compliance with FAA orders and supports instrument flight rule (IFR) procedures and operations.",Final rule.,90 FR 1034,2024-31639,FAA-2024-2366,,,,,https://www.federalregister.gov/documents/2025/01/07/2024-31639/amendment-of-class-e-airspace-pontiac-il,,1,,,,,,,,,,,,,0,['2120-AA66']
2025-01-07,2025-04-17,Transportation Department,Federal Aviation Administration,0,"Amendment of Class E Airspace; Smith Center, KS","This action amends the Class E airspace at Smith Center, KS. This action is the result of an airspace review conducted due to the decommissioning of the Mankato very high frequency omnidirectional range (VOR) as part of the VOR Minimum Operational Network (MON) Program. This action also updates the geographic coordinates of the airport to coincide with the FAA's aeronautical database. This action brings the airspace into compliance with FAA orders and supports instrument flight rule (IFR) procedures and operations.",Final rule.,90 FR 1033,2024-31640,FAA-2024-2368,,,,,https://www.federalregister.gov/documents/2025/01/07/2024-31640/amendment-of-class-e-airspace-smith-center-ks,,1,,,,,,,,,,,,,0,['2120-AA66']
2025-01-07,2025-04-17,Transportation Department,Federal Aviation Administration,0,"Revocation of Class E Airspace; Follett, TX","This action revokes the Class E airspace at Follett, TX. This action due to the instrument procedures being cancelled at this airport and the airspace is no longer required.",Final rule.,90 FR 1031,2024-31642,FAA-2024-2431,,,,,https://www.federalregister.gov/documents/2025/01/07/2024-31642/revocation-of-class-e-airspace-follett-tx,,1,,,,,,,,,,,,,0,['2120-AA66']
2025-01-07,,Energy Department,,0,Energy Conservation Program: Energy Conservation Standards for Walk-In Coolers and Walk-In Freezers,,,90 FR 1029,C1-2024-28474,EERE-2017-BT-STD-0009,,,,,https://www.federalregister.gov/documents/2025/01/07/C1-2024-28474/energy-conservation-program-energy-conservation-standards-for-walk-in-coolers-and-walk-in-freezers,,1,,,,,,,,,,,,,0,['1904-AD79']
2025-01-07,,Homeland Security Department,Coast Guard,0,"Security Zone; Potomac River and Anacostia River, and Adjacent Waters; Washington, DC","The Coast Guard will enforce a security zone along the Potomac and Anacostia Rivers and adjacent waters at Washington, DC to protect government officials, mitigate potential terrorist acts, and enhance public and maritime safety and security in the days leading up to and after the 60th Presidential Inauguration. During the enforcement period, entry into or remaining within the security zone is prohibited unless authorized by the Captain of the Port or his designated representative.",Notification of enforcement of regulation.,90 FR 1039,2025-00013,USCG-2024-1094,,,,,https://www.federalregister.gov/documents/2025/01/07/2025-00013/security-zone-potomac-river-and-anacostia-river-and-adjacent-waters-washington-dc,,1,,,,,,,,,,,,,0,['1625-AA87']
2025-01-08,2025-01-08,Pension Benefit Guaranty Corporation,,0,Adjustment of Civil Penalties for Inflation,The Pension Benefit Guaranty Corporation is required to amend its regulations annually to adjust for inflation the maximum civil penalty for failure to provide certain notices or other material information and for failure to provide certain multiemployer plan notices.,Final rule.,90 FR 1374,2025-00211,PBGC-2025-0001,,,,,https://www.federalregister.gov/documents/2025/01/08/2025-00211/adjustment-of-civil-penalties-for-inflation,,1,,,,,,,,,,,,,0,['1212-AB45']
2025-01-08,2025-02-12,Transportation Department,Federal Aviation Administration,0,"Airworthiness Directives; Airbus Defense and Space S.A. (Formerly Known as Construcciones Aeronauticas, S.A.) Airplanes","The FAA is adopting a new airworthiness directive (AD) for all Airbus Defense and Space S.A. Model CN-235, CN-235-200, and CN-235-300 airplanes. This AD was prompted by a torn bulkhead seal found jamming the nose landing gear (NLG) emergency cable pulley. Due to the similarity of design, the main landing gear (MLG) emergency cable pulley could be exposed to the same failure mode. This AD requires repetitive inspections and corrective actions for damage of affected bulkhead seals and retainer rings, and repetitive replacement of affected parts, as specified in a European Union Aviation Safety Agency (EASA) AD, which is incorporated by reference. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,90 FR 1359,2025-00146,FAA-2024-2024,,,,,https://www.federalregister.gov/documents/2025/01/08/2025-00146/airworthiness-directives-airbus-defense-and-space-sa-formerly-known-as-construcciones-aeronauticas,,1,,,,,,,,,,,,,0,['2120-AA64']
2025-01-08,2025-02-12,Transportation Department,Federal Aviation Administration,0,"Airworthiness Directives; CFM International, S.A. Engines","The FAA is adopting a new airworthiness directive (AD) for certain CFM International, S.A. (CFM) Model LEAP-1B engines. This AD was prompted by a report of a quality escape involving certain high- pressure compressor (HPC) stage 2 seals manufactured without detailed finish machining, which could result in deeper rubs and mechanical damage to the seal teeth of the stage 3-4 compressor rotor blisk (stage 3-4 blisk) of the mating compressor rotor during initial operation. This AD requires a visual inspection of the HPC stage 2 seal, a visual inspection of the forward arm seal teeth of the stage 3-4 blisk, an eddy current inspection (ECI) of the forward arm seal teeth of the stage 3-4 blisk, and replacement of the HPC stage 2 seal and the stage 3-4 blisk, if necessary. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,90 FR 1365,2025-00207,FAA-2024-1898,,,,,https://www.federalregister.gov/documents/2025/01/08/2025-00207/airworthiness-directives-cfm-international-sa-engines,,1,,,,,,,,,,,,,0,['2120-AA64']
